dataset,hemisphere,season,variant,tau_fit_3,tau_autocorr_efold,delta_tau,abs_delta_tau,n_low_freq_points,n_segments,real_intercept,real_intercept_stderr,real_rsq,imag_rsq,intercept_snr
jra55,n,all_time,native,6.565742719621943,9.103349706939495,2.5376069873175524,2.5376069873175524,7,104,0.2087410382062294,0.006094942564576577,0.6864155911750681,0.9889871661367229,34.24823712358164
jra55,n,all_time,va,6.837260503630798,9.090405371597107,2.2531448679663093,2.2531448679663093,7,104,0.1443738296663711,0.003910556798248909,0.3095120440367357,0.9865791186278138,36.91899571207344
jra55,n,DJF,native,5.9631820545860155,15.257725241384948,9.294543186798933,9.294543186798933,7,27,0.2223427386854851,0.009844904539393705,0.738101533361489,0.9828992939462484,22.584549986827806
jra55,n,DJF,va,7.277639921602391,15.10694808980271,7.82930816820032,7.82930816820032,7,27,0.143486961061046,0.00810341279905438,0.03877716491546727,0.9455598010295252,17.70697909870642
jra55,n,JFM,native,6.5302144266854985,15.476431312784268,8.94621688609877,8.94621688609877,7,27,0.20166737380812638,0.014517914726441554,0.42455264126187586,0.9816690019223693,13.890932520827425
jra55,n,JFM,va,6.922442029993034,14.161823320127308,7.239381290134274,7.239381290134274,7,27,0.14061909009715806,0.008430464182525653,0.45876284425570163,0.9503000254019137,16.679875159024814
jra55,n,FMA,native,7.226405223267923,12.091255314182643,4.86485009091472,4.86485009091472,7,27,0.1816483519867493,0.01747824349220964,0.02128533577205344,0.8779715879620258,10.392826491272602
jra55,n,FMA,va,8.278977610566603,10.816276582148326,2.5372989715817234,2.5372989715817234,7,27,0.125393438436963,0.0075556190852876775,0.2279517085766314,0.8920370823784451,16.596050836010175
jra55,n,MAM,native,5.796630651907482,8.026265261697535,2.229634609790053,2.229634609790053,7,27,0.17862484875822338,0.013016385070936365,0.5098340029116833,0.7667092687683887,13.72307655195803
jra55,n,MAM,va,5.895579572524383,7.274355570743055,1.3787759982186722,1.3787759982186722,7,27,0.13485204473598836,0.009302393493187299,0.19415544066845297,0.8993902443444121,14.49648897724533
jra55,n,AMJ,native,7.265571024957104,6.476856091891653,-0.7887149330654513,0.7887149330654513,7,27,0.18141058173752722,0.009052543339709954,0.18598039916077508,0.96827943991083,20.03973634036638
jra55,n,AMJ,va,6.781665033340467,5.835903085939338,-0.9457619474011283,0.9457619474011283,7,27,0.15621892705194584,0.005596722821131072,0.6881637012781032,0.9778812006003345,27.912571703948476
jra55,n,MJJ,native,7.0860489797435715,5.451108027600376,-1.6349409521431957,1.6349409521431957,7,27,0.16123051744228092,0.006865504084400928,0.677405526113259,0.939619589888665,23.48414849954162
